USER_ID,Probabilities
F6513-5720,0.7626279
F6545-0060,0.7195359
F6521-7740,0.7261982
F6556-2677,0.83161265
F6548-0173,0.5089432
F6474-8613,0.77966744
F6521-7751,0.99611545
F6475-4409,0.9667155
F6521-7936,0.98530746
F6481-3834,0.8645058
F6541-3763,0.54870063
F6497-5904,0.93728626
F6514-4518,0.77592826
F6556-2595,0.5427155
F6478-3755,0.53484416
F6204-2182,0.9859847
F6521-9485,0.68353045
F3162-0048,0.58833504
F6559-3335,0.5334635
F6466-0009,0.5728775
F6514-4304,0.5322821
F6491-0279,0.6542651
F6507-8857,0.98810613
F6556-2912,0.73506415
F6438-0573,0.91529036
F6438-0734,0.9373416
F6448-1810,0.7240809
F6448-1607,0.8276415
F6481-0340,0.90357447
F6481-0916,0.99010617
F6443-6639,0.9123171
F6476-6038,0.9769547
F6514-4323,0.9136956
F6514-4584,0.5612471
F6515-0114,0.9675704
F6440-2509,0.8240605
F1912-0096,0.89164454
F6524-4769,0.8324278
F6524-4857,0.809322
F6222-0271,0.521028
F6556-3496,0.5187887
F6514-4490,0.8506334
F6524-1491,0.79369944
F6521-8206,0.9702159
F6514-4636,0.5953296
F5857-0770,0.6997895
F6524-1490,0.9469668
F6451-0740,0.9812371
F6542-5776,0.95529425
F6524-1537,0.98156184
F0696-4715,0.76383245
F6488-0893,0.8743401
F6491-0893,0.93121123
F5857-4938,0.90740186
F6420-0019,0.77167237
F6521-9757,0.8325282
F1907-2297,0.52128917
F2495-1881,0.9874056
F6514-4652,0.8304773
F6475-7867,0.93651235
F5857-1140,0.9800827
F6089-9836,0.5220349
F6514-4301,0.59222853
F6559-1989,0.8058023
F6539-2789,0.5025998
F5857-0003,0.55668634
F6451-2611,0.6885947
F6420-0007,0.60428876
F6378-0044,0.8817374
F6440-2686,0.6728402
F6440-2892,0.7208526
F6451-1112,0.7980757
F6559-2037,0.9171743
F5857-5696,0.992785
F6521-4320,0.9719748
F5857-1139,0.61935
F6491-0945,0.610315
F3319-0290,0.76271206
F6451-0533,0.69040745
F6452-1053,0.96575415
F6471-2878,0.8810207
F6420-0636,0.99010825
F6514-4345,0.98645276
F6556-2970,0.78727424
F6481-0444,0.5613912
F6420-0562,0.9964981
F6420-0656,0.8509882
F6178-7382,0.75135255
F6497-5697,0.9033965
