USER_ID,Probabilities
F6513-5720,0.9307376
F6619-2116,0.65931505
F6545-0060,0.9982173
F6492-0089,0.6310065
F6521-7740,0.88763577
F6497-5619,0.9936661
F6512-1852,0.8940774
F6556-2677,0.9978592
F6521-8783,0.8949478
F6474-8613,0.9641021
F6521-7751,0.99983263
F6512-1326,0.5271488
F6475-4409,0.9981274
F6521-7936,0.9998853
F6481-3834,0.99874276
F6497-5904,0.9982487
F6521-9300,0.91886663
F6514-4518,0.6272027
F6556-2595,0.638427
F6478-3755,0.9617614
F6204-2182,0.9998882
F6521-9485,0.96137553
F3162-0048,0.6481478
F6440-2317,0.7612091
F6559-3335,0.95796376
F6466-0009,0.99856526
F6481-3694,0.8145015
F6514-4304,0.9989158
F6491-0279,0.83036524
F6475-2920,0.6541526
F6491-0607,0.93881357
F6488-0279,0.8693743
F6507-8857,0.9976653
F6514-4293,0.7069562
F6556-2912,0.96317536
F6438-0573,0.95748264
F6438-0734,0.940067
F6448-0584,0.7455873
F6448-1606,0.8933569
F6448-1810,0.96537757
F6448-1607,0.89790595
F6524-1413,0.877055
F6481-0340,0.9972398
F6481-0916,0.9995616
F6443-6639,0.9996061
F6476-6038,0.9887899
F6514-4323,0.99879164
F6514-4584,0.9953294
F6438-1300,0.8801021
F6515-0114,0.9998865
F6502-7514,0.94827956
F6440-2509,0.9674366
F6514-4338,0.60721105
F6488-2544,0.9133293
F6515-4394,0.9700366
F6488-2670,0.9947937
F6524-4769,0.97720486
F6524-4857,0.9710471
F6559-3377,0.7561463
F6514-4465,0.9781065
F6516-1234,0.97908235
F6488-2542,0.96835136
F6556-3496,0.6050661
F6497-5688,0.9870508
F6489-0317,0.96981156
F6514-4490,0.99934286
F6524-1491,0.9785744
F6491-0280,0.97049403
F6488-0379,0.926708
F6451-0526,0.700801
F6521-8206,0.9931029
F6488-0280,0.89489216
F6491-0240,0.5634887
F6514-4636,0.9945859
F5857-0770,0.98138785
F6497-5915,0.90963614
F6524-1490,0.99917173
F6451-0740,0.9998944
F6542-5776,0.95624995
F6524-1537,0.9992717
F6524-1597,0.72086734
F6539-2768,0.94636106
F0696-4715,0.99891114
F6488-0893,0.9897489
F6491-0893,0.9850877
F5857-4938,0.988884
F6420-0019,0.98829556
F6521-9757,0.9893913
F6514-4299,0.76162803
F6523-4452,0.66925114
F2495-1881,0.96259254
F6514-4652,0.997472
F6475-7867,0.99918455
F5857-1140,0.9993826
F6089-9836,0.8928458
F6497-5759,0.95143694
F6514-4301,0.95753443
F6559-1989,0.99286723
F6539-2789,0.9773776
F5857-0003,0.926959
F6451-2611,0.97303945
F6378-0044,0.96973
F6440-2686,0.88597614
F6440-2892,0.96404207
F6451-1112,0.9723371
F6559-2037,0.7699591
F5857-5696,0.6358054
F6507-1386,0.9795895
F6521-4320,0.99990165
F6420-0652,0.69285667
F5857-7879,0.5120256
F6497-5819,0.99019414
F6497-5736,0.98974574
F6471-6113,0.96319634
F6491-0945,0.9712502
F3319-0290,0.9697276
F6451-0533,0.9746105
F6452-1053,0.99895656
F6524-1536,0.8878104
F6497-5747,0.8767694
F5857-4930,0.6667651
F6471-2878,0.9942462
F5467-0001,0.50371146
F5857-0006,0.94978625
F6451-2614,0.596751
F6488-0945,0.96746206
F6420-0636,0.99952555
F6514-4345,0.9994516
F6488-1521,0.9728714
F6523-3803,0.9852883
F6556-2970,0.53654087
F6481-0444,0.6387936
F6096-0237,0.9014583
F6420-0562,0.9999583
F6514-4812,0.93352187
F6420-0656,0.9886065
F6497-5697,0.9962441
F6451-2615,0.7238609
F5847-0286,0.54728365
F6514-4337,0.81668884
F5467-0005,0.9998491
F6089-9712,0.9858137
F6200-4170,0.98503494
F1801-0104,0.98127353
F6559-0689,0.71672904
F1301-0059,0.9980642
F6490-0547,0.96313477
F6204-2742,0.9998615
F6479-3175,0.9737811
F6448-0781,0.9353596
F6451-2623,0.9995265
F6203-1495,0.87621653
F6475-2810,0.9834452
F6125-2122,0.9166235
F6451-2828,0.99992764
F6089-9847,0.8475655
F6514-4504,0.9996406
F6089-9747,0.9658918
F6416-9134,0.9998356
F6089-9714,0.87395245
F6414-1212,0.9647179
F3259-0253,0.9869119
F6443-7577,0.956805
F6514-4616,0.89828974
F3319-0335,0.91414475
F6514-4691,0.9921678
F6178-7633,0.99555826
F6279-0653,0.8595795
F6514-4422,0.9999734
F6420-0594,0.9998523
F6194-0046,0.73999745
F5791-0601,0.7593623
F2862-0016,0.9247518
F6451-2620,0.77767634
F6412-6605,0.8143074
F2721-0309,0.99772316
F6200-1501,0.8363762
F6491-1123,0.85797834
F6414-2205,0.92375386
F6451-0019,0.70903146
F6514-4365,0.99992645
F6514-4642,0.7141815
F6089-9748,0.9404192
F6475-2429,0.7075728
F6521-7868,0.99993896
F2094-0867,0.98705053
F6514-4339,0.6732084
F6451-2624,0.61476964
F6451-1583,0.84531343
F6414-2016,0.8467143
F6089-9657,0.9844372
F6089-9699,0.868484
F6089-9763,0.868484
F3319-0336,0.9439702
F6420-0224,0.6134982
F6200-1503,0.5995836
F6412-6611,0.6896377
F6559-3318,0.7190092
F6412-6821,0.7512964
F2862-0017,0.9420944
F6203-1501,0.746252
F6514-4431,0.656634
F6524-1554,0.99675024
F6475-4454,0.9949817
F6514-4364,0.9989034
F6451-1784,0.9090602
F6451-0996,0.58440715
F5871-3580,0.5822108
F6523-2134,0.756365
F6514-4718,0.9849936
F6257-1955,0.6554878
F6524-1589,0.89547974
F5857-4943,0.7636623
F6451-0891,0.85385084
F0291-0021,0.99378395
F0192-0233,0.9956643
F6451-0681,0.9561634
F6475-6964,0.994393
F6265-0111,0.9997199
F6524-1573,0.7328629
F2721-0298,0.9997366
F6514-4420,0.9983754
F6491-1141,0.97694093
F5772-7520,0.77466035
F6507-9148,0.98940116
F6471-1218,0.85484767
F6125-0118,0.988926
F6265-0145,0.99889565
F6442-2124,0.5434108
F6609-8210,0.99458414
F0239-0826,0.88693947
F6265-0077,0.9650361
F6443-7582,0.9966822
F1677-0514,0.924039
F2791-0316,0.9921894
F6378-0380,0.99399674
F6439-5190,0.7584567
F6443-7579,0.92806417
F2862-0160,0.8524096
F6357-0949,0.9970355
F5047-0110,0.8520718
F6435-9122,0.63399994
F2862-0162,0.7842893
F0327-0060,0.9274271
F6514-4756,0.5391151
F6200-1494,0.8083027
F6452-0740,0.9557395
F5310-0072,0.9998248
F2721-0332,0.98515505
F2721-0356,0.9950787
F2721-0327,0.9980957
F2721-0338,0.98918855
F6451-0998,0.9934843
F6451-3211,0.988145
F5772-8320,0.95946616
F2721-0321,0.9994838
F2721-0417,0.9688177
F5857-1855,0.9136125
F6471-2859,0.99904746
F5788-0094,0.92424595
F2240-0220,0.9802725
F6514-4751,0.9881656
F6412-6777,0.98364854
F5679-0104,0.9557521
F6471-2864,0.9999441
F6514-4385,0.8944706
F5788-1086,0.98574907
F6266-0348,0.91540045
F6412-6552,0.8214595
F2721-0339,0.99382085
F2721-0348,0.9939737
F6471-2860,0.99996436
F2199-0398,0.9838817
F6412-6557,0.99692374
F6539-3036,0.54968923
F6488-2000,0.97348523
F0422-0016,0.9978988
F6125-0283,0.97076416
F6444-6616,0.9224513
F6441-7474,0.79540056
F5966-0017,0.81794465
F2862-0313,0.62748545
F5103-0438,0.7333458
F2147-1078,0.94414705
F6491-2000,0.97984546
F2147-0602,0.9383142
F5860-4145,0.51287
F2240-0204,0.9045535
F2240-0018,0.9730583
F5860-3678,0.9986607
F6559-3333,0.9979613
F5860-4338,0.8659042
F0910-0187,0.9948968
F0421-0040,0.99409217
F6244-0304,0.5935968
F6451-0665,0.99832696
F6471-6362,0.5617496
F2883-0545,0.9995054
F6443-7821,0.99975544
F2721-0707,0.9992969
F6471-2855,0.63356966
F6266-0359,0.9867329
F6089-7703,0.7717215
F6266-0336,0.9633504
F2503-0135,0.855222
F5860-4115,0.7102477
F2199-0372,0.8700924
F1124-0001,0.6749141
F2173-0923,0.9735125
F3375-2779,0.96639997
F1278-0491,0.96158195
F6226-0435,0.99956185
F6497-1762,0.96980053
F5827-0168,0.9980165
F1278-0074,0.76442283
F2721-0728,0.59578437
F1278-0617,0.9998518
F6475-4463,0.99999285
F6514-4793,0.8492763
F6524-6665,0.52894896
F5857-7570,0.99995863
F3095-0665,0.5366342
F2721-0749,0.9599318
F5831-6050,0.98918706
F6471-2854,0.9230216
F1193-0001,0.72948575
F2721-0716,0.70548826
F2862-0163,0.9457491
F5831-7600,0.88422936
F6413-2487,0.89952415
F1278-0719,0.986219
F6495-5119,0.96975255
F6226-0053,0.99025494
F1977-0009,0.9196637
F1906-0093,0.88870394
F2670-0049,0.9808584
F6559-3458,0.9884902
F6155-0050,0.9894889
F2864-0037,0.77777046
F6464-0698,0.99923766
F6514-4703,0.94339246
F5047-0096,0.99678206
F6412-6589,0.99516356
F6125-0596,0.92203975
F6514-4731,0.9894711
F6475-2963,0.9759462
F6491-0509,0.9333435
F6523-2551,0.9932597
F2791-0310,0.7749877
F2964-0666,0.99925107
F1278-0206,0.95737195
F6451-2637,0.99998415
F1278-0113,0.7655157
F5831-9378,0.9884565
F5061-0011,0.9684055
F5490-0250,0.70299345
F6412-6601,0.99991906
F5676-0021,0.9803745
F1278-0751,0.9975526
F1562-0161,0.96685547
F2721-0712,0.99979883
F5061-0132,0.9751831
F5828-0213,0.99874204
F6559-2013,0.9981406
F5323-0227,0.99718446
F6466-0053,0.99868554
F6559-3541,0.8516965
F2721-0744,0.79369366
F1278-0636,0.9997271
F6412-6732,0.84416705
F6064-8598,0.9527306
F5860-3855,0.99945
F1193-0036,0.9873648
F5831-7530,0.9992873
F6420-0074,0.9871716
F2791-0305,0.9635318
F6142-0206,0.881924
F1278-0497,0.7739714
F1124-0124,0.54507786
F1533-0160,0.9953614
F6507-5707,0.9650813
F1278-0199,0.97000206
F6412-6788,0.99996316
F1193-0024,0.97097856
F2241-0053,0.92398167
F6507-5884,0.9676801
F2862-0310,0.851354
F6412-6810,0.9999912
F5857-7956,0.9999924
F6412-6545,0.78798354
F6475-2864,0.88191587
F6412-6782,0.9125493
F6420-0077,0.99999475
F1278-0701,0.98971456
F3319-0800,0.9941554
F6521-7739,0.9771016
F5526-0496,0.901317
F5833-0822,0.8130111
F6475-7250,0.99970275
F6226-0016,0.7239802
F6412-6733,0.99989784
F6262-1809,0.9489151
F1278-0568,0.9999355
F1562-0149,0.7014102
F6438-0043,0.9510932
F1885-0094,0.9892726
F5831-3001,0.9469945
F2016-0492,0.9999769
F1193-0007,0.98801535
F1278-0583,0.99985886
F6514-4799,0.5820037
F2016-0589,0.9999938
F5831-9380,0.8938426
F2721-0745,0.9061207
F0686-0072,0.9901102
F6448-1013,0.9912719
F3017-0047,0.92860365
F1822-0001,0.83216685
F6412-6809,0.9999914
F1885-0184,0.99998116
F0608-0143,0.7876305
F6523-1960,0.99865144
F2553-0060,0.95132047
F6491-0237,0.8979291
F6443-7940,0.99835217
F5452-0060,0.8157156
F6524-4865,0.9947233
F1278-0709,0.996601
