USER_ID,Probabilities
F6513-5720,0.9762181
F6545-0060,0.99926096
F6521-7740,0.9730366
F6556-2677,0.9993155
F6521-8783,0.9756624
F6474-8613,0.99353045
F6521-7751,0.99979633
F6475-4409,0.99915385
F6521-7936,0.9998816
F6481-3834,0.998195
F6497-5904,0.99851185
F6521-9300,0.9900539
F6478-3755,0.98159814
F6204-2182,0.9999838
F6521-9485,0.994911
F6466-0009,0.99649686
F6514-4304,0.9988211
F6507-8857,0.99946576
F6556-2912,0.9905605
F6438-0573,0.9976064
F6438-0734,0.9885018
F6481-0340,0.9984732
F6481-0916,0.99995744
F6443-6639,0.9873646
F6476-6038,0.9787179
F6514-4323,0.99931467
F6514-4584,0.99535525
F6515-0114,0.99905676
F6440-2509,0.9921267
F6488-2670,0.9941802
F6488-2542,0.9547949
F6497-5688,0.9967527
F6514-4490,0.99964154
F6524-1491,0.9514272
F6491-0280,0.96592563
F6521-8206,0.99678326
F6514-4636,0.99631655
F5857-0770,0.99460137
F6524-1490,0.9985079
F6451-0740,0.99986327
F6542-5776,0.9735753
F6524-1537,0.99790144
F0696-4715,0.999668
F6491-0893,0.9708712
F5857-4938,0.99256855
F6420-0019,0.99323785
F6521-9757,0.96171355
F2495-1881,0.97482514
F6514-4652,0.99774784
F6475-7867,0.999907
F5857-1140,0.999087
F6497-5759,0.984041
F6559-1989,0.9987571
F5857-0003,0.97469306
F6451-2611,0.98727536
F6378-0044,0.9648686
F6451-1112,0.99495065
F6559-2037,0.9546736
F6507-1386,0.9540469
F6521-4320,0.99987113
F6497-5819,0.9771772
F6497-5736,0.9613357
F6451-0533,0.9816876
F6452-1053,0.9989348
F6471-2878,0.9790389
F5857-0006,0.96342945
F6420-0636,0.9998965
F6514-4345,0.999426
F6523-3803,0.98863333
F6420-0562,0.9999951
F6420-0656,0.9990103
F6497-5697,0.9964244
F5467-0005,0.9997807
F6089-9712,0.97030354
F6200-4170,0.99611557
F6559-0689,0.9507086
F1301-0059,0.9993831
F6490-0547,0.99622726
F6204-2742,0.99980277
F6479-3175,0.9889232
F6451-2623,0.9998362
F6451-2828,0.99998784
F6089-9847,0.9668518
F6514-4504,0.99876106
F6416-9134,0.99981314
F6089-9714,0.98301667
F6414-1212,0.99811816
F6514-4691,0.9605516
F6178-7633,0.9982059
F6279-0653,0.9935535
F6514-4422,0.9999317
F6420-0594,0.99994683
F2721-0309,0.99111146
F6200-1501,0.9946673
F6491-1123,0.9551004
