USER_ID,Probabilities
F6513-5720,0.78365654
F6545-0060,0.9436803
F6492-0089,0.65141964
F6507-8802,0.5755094
F6507-8808,0.92432916
F6521-7740,0.89846027
F6512-1852,0.84301364
F6556-2677,0.967725
F6521-8783,0.81703925
F6474-8613,0.5709014
F6521-7751,0.9989517
F6475-4409,0.9949325
F6521-7936,0.99587137
F6481-3834,0.9917966
F6497-5904,0.98683095
F6521-9300,0.92010474
F6514-4518,0.9129993
F6204-0773,0.8052216
F6556-2595,0.5033021
F6478-3755,0.9186936
F6204-2182,0.99957186
F6521-9485,0.93599594
F3162-0048,0.8523892
F6448-0241,0.72876745
F6440-2317,0.7254836
F6475-6601,0.5789434
F6466-0009,0.89254224
F6481-3694,0.6458592
F6514-4304,0.9841307
F6507-8857,0.99919313
F6556-2912,0.987331
F6438-0573,0.99066204
F6438-0734,0.9306303
F6448-0584,0.8601569
F6448-1606,0.88702434
F6448-1810,0.981268
F6448-1607,0.97549176
F6481-0340,0.9614738
F6481-0916,0.9987949
F6443-6639,0.9458071
F6476-6038,0.9820488
F6514-4323,0.9937994
F6514-4584,0.9438533
F6438-1300,0.772527
F6515-0114,0.99356776
F6502-7514,0.86056113
F6440-2509,0.8990806
F6515-4394,0.8845713
F6488-2670,0.9103028
F6524-4769,0.83295953
F6524-4857,0.79864544
F6516-1234,0.87013197
F6488-2542,0.5353306
F6556-3496,0.5477521
F6497-5688,0.5666872
F6439-4807,0.5810122
F6514-4490,0.93611825
F6524-1491,0.7655893
F6491-0280,0.68716747
F6451-0526,0.87483144
F6521-8206,0.98998356
F6246-1396,0.51394266
F6514-4636,0.80481046
F5857-0770,0.9836997
F6524-1490,0.9922517
F6451-0740,0.99933976
F6542-5776,0.9544052
F6524-1537,0.9960687
F6539-2768,0.570076
F0696-4715,0.9930727
F6488-0893,0.92194694
F6491-0893,0.921545
F5857-4938,0.9976624
F6420-0019,0.9835354
F6521-9757,0.8608963
F2495-1881,0.9523891
F6420-0527,0.5709552
F6514-4652,0.9725127
F6475-7867,0.9932801
F5857-1140,0.999223
F6089-9836,0.76579064
F6514-4301,0.6131414
F6559-1989,0.98463863
F5857-1897,0.6227593
F5857-0003,0.93565995
F5857-1518,0.64805007
F6451-2611,0.87188935
F6420-0007,0.81097454
F6378-0044,0.880439
F6440-2686,0.78158414
F6440-2892,0.90236026
F6451-1112,0.9771459
F6559-2037,0.95556915
F5857-5696,0.98861897
F6507-1386,0.63254976
F6521-4320,0.9994733
F5857-7879,0.87266666
F5857-1139,0.7985061
F6497-5819,0.5826974
F6497-5736,0.67602277
F6471-6113,0.8428368
F3319-0290,0.8899262
F6451-0533,0.97946745
F6452-1053,0.9976217
F6524-1536,0.5885121
F6471-2878,0.9441645
F5467-0001,0.6552427
