,USER_ID,AD_status
0,F5076-0070,1
1,F0617-0286,1
2,F1885-0134,1
3,F0617-0312,1
4,F3215-0044,1
5,F3273-0673,1
6,F0554-0022,1
7,F0554-0835,1
